label_w_size	n	region_size_mb
Lymphoid Lineage (N=95)	826	31.291716
Lymphoid Lineage (N=95)	473	31.291716
Lymphoid Lineage (N=95)	2788	31.291716
Lymphoid Lineage (N=95)	1569	31.291716
Lymphoid Lineage (N=95)	50556	31.291716
Lymphoid Lineage (N=95)	7118	31.291716
Lymphoid Lineage (N=95)	1217	31.291716
Lymphoid Lineage (N=95)	4689	31.291716
Lymphoid Lineage (N=95)	4770	31.291716
Lymphoid Lineage (N=95)	9158	31.291716
Lymphoid Lineage (N=95)	1156	31.291716
Lymphoid Lineage (N=95)	604	31.291716
Lymphoid Lineage (N=95)	9096	31.291716
Lymphoid Lineage (N=95)	13540	31.291716
Lymphoid Lineage (N=95)	5956	31.291716
Lymphoid Lineage (N=95)	2610	31.291716
Lymphoid Lineage (N=95)	35294	31.291716
Lymphoid Lineage (N=95)	4904	31.291716
Lymphoid Lineage (N=95)	18477	31.291716
Lymphoid Lineage (N=95)	45672	31.291716
Lymphoid Lineage (N=95)	4193	31.291716
Lymphoid Lineage (N=95)	3509	31.291716
Lymphoid Lineage (N=95)	24977	31.291716
Lymphoid Lineage (N=95)	16773	31.291716
Lymphoid Lineage (N=95)	7973	31.291716
Lymphoid Lineage (N=95)	4922	31.291716
Lymphoid Lineage (N=95)	19910	31.291716
Lymphoid Lineage (N=95)	25119	31.291716
Lymphoid Lineage (N=95)	8259	31.291716
Lymphoid Lineage (N=95)	11216	31.291716
Lymphoid Lineage (N=95)	9249	31.291716
Lymphoid Lineage (N=95)	24732	31.291716
Lymphoid Lineage (N=95)	15419	31.291716
Lymphoid Lineage (N=95)	3098	31.291716
Lymphoid Lineage (N=95)	4202	31.291716
Lymphoid Lineage (N=95)	48281	31.291716
Lymphoid Lineage (N=95)	40575	31.291716
Lymphoid Lineage (N=95)	7705	31.291716
Lymphoid Lineage (N=95)	39080	31.291716
Lymphoid Lineage (N=95)	23811	31.291716
Lymphoid Lineage (N=95)	26719	31.291716
Lymphoid Lineage (N=95)	2468	31.291716
Lymphoid Lineage (N=95)	10224	31.291716
Lymphoid Lineage (N=95)	9727	31.291716
Lymphoid Lineage (N=95)	17480	31.291716
Lymphoid Lineage (N=95)	24435	31.291716
Lymphoid Lineage (N=95)	410	31.291716
Lymphoid Lineage (N=95)	13833	31.291716
Lymphoid Lineage (N=95)	7010	31.291716
Lymphoid Lineage (N=95)	19408	31.291716
